NO;NPWPD / NAMA WP / ALAMAT;KET.;DESEMBER;JANUARI;PEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOPEMBER;JUMLAH;STATUS
;;Pajak;Rp7.546.491;Rp6.651.818;Rp6.582.955;Rp7.864.136;Rp8.593.545;Rp6.356.955;Rp5.981.091;Rp5.856.909;Rp5.488.273;Rp5.654.545;Rp6.153.227; Rp- ;Rp72.729.945;
;;Setor;Rp7.546.491;Rp6.651.818;Rp6.582.955;Rp7.864.136;Rp8.593.545;Rp6.356.955;Rp5.981.091;Rp5.856.909;Rp5.488.273;Rp5.654.545;Rp6.153.227; Rp- ;Rp72.729.945;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
169;32.78.1.0003713.00.000 /KABOBS YOGYA MITRA BATIK / JL. IR. H. DJUANDA NO. 310;Omset;Rp105.604.273;Rp97.963.182;Rp83.044.091;Rp78.900.454;Rp123.893.182;Rp93.465.000;Rp90.261.818;Rp75.270.000;Rp80.299.091;Rp79.170.454;Rp89.212.273; Rp- ;Rp997.083.818;AKTIF
;;Pajak;Rp10.560.427;Rp9.796.318;Rp8.304.409;Rp7.890.045;Rp12.389.318;Rp9.346.500;Rp9.026.182;Rp7.527.000;Rp8.029.909;Rp7.917.045;Rp8.921.227; Rp- ;Rp99.708.380;
;;Setor;Rp10.560.427;Rp9.796.318;Rp8.304.409;Rp7.890.045;Rp12.389.318;Rp9.346.500;Rp9.026.182;Rp7.527.000;Rp8.029.909;Rp7.917.045;Rp8.921.227; Rp- ;Rp99.708.380;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
170;32.78.1.0003717.08.005 / RUMAH KOPI BARETTO / Jl. Galunggung No. 22;Omset;Rp28.780.500; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp28.780.500;AKTIF
;;Pajak;Rp2.878.050; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.878.050;
;;Setor;Rp2.878.050; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.878.050;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
171;32.78.1.0003723.02.005 / ROEDJAK BALI / JL. TERUSAN BCA NO. 8;Omset;Rp2.087.625;Rp2.040.733;Rp1.491.908;Rp1.465.465;Rp2.291.667; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.377.398;TUTUP
;;Pajak;Rp208.763;Rp204.073;Rp149.191;Rp146.547;Rp229.167; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp937.741;
;;Setor;Rp208.763;Rp204.073;Rp149.191;Rp146.547;Rp229.167; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp937.741;
;;Denda;Rp2.088; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda;Rp2.088; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
172;32.78.1.0003725.03.003 / TODAY'S CAFÉ / JL. TALAGA BODAS NO. 152A;Omset;Rp33.052.111;Rp32.204.400;Rp31.070.029;Rp39.059.899;Rp33.290.099;Rp36.083.289;Rp37.176.908;Rp39.059.899;Rp28.564.500;Rp35.597.500; Rp- ; Rp- ;Rp345.158.634;AKTIF
;;Pajak;Rp3.305.211;Rp3.220.440;Rp3.107.003;Rp3.905.990;Rp3.329.010;Rp3.608.329;Rp3.717.691;Rp3.905.990;Rp2.856.450;Rp3.559.750; Rp- ; Rp- ;Rp34.515.864;
;;Setor;Rp3.305.211;Rp3.220.440;Rp3.107.003;Rp3.905.990;Rp3.329.010;Rp3.608.329;Rp3.717.691;Rp3.905.990;Rp2.856.450;Rp3.559.750; Rp- ; Rp- ;Rp34.515.864;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
173;32.78.1.0003729.08.005 / NOTRE / JL. CIMULU NO. 32;Omset;Rp75.196.000;Rp73.661.000;Rp69.014.400;Rp67.462.000;Rp74.602.300;Rp71.108.500;Rp74.580.000;Rp74.275.999;Rp74.033.500;Rp73.794.000; Rp- ; Rp- ;Rp727.727.699;AKTIF
;;Pajak;Rp7.519.600;Rp7.366.100;Rp6.901.440;Rp6.746.200;Rp7.460.230;Rp7.110.850;Rp7.458.000;Rp7.427.600;Rp7.403.350;Rp7.379.400; Rp- ; Rp- ;Rp72.772.770;
;;Setor;Rp7.519.600;Rp7.366.100;Rp6.901.440;Rp6.746.200;Rp7.460.230;Rp7.110.850;Rp7.458.000;Rp7.427.600;Rp7.403.350;Rp7.379.400; Rp- ; Rp- ;Rp72.772.770;
;;Denda; Rp- ; Rp- ;Rp69.014; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp69.014;
;;Setor Denda; Rp- ; Rp- ;Rp69.014; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp69.014;
174;32.78.1.0003732.06.006 / KAMANDARA RESTO / JL. AH. NASUTION;Omset;Rp60.009.000;Rp48.940.000;Rp55.909.000;Rp84.575.000;Rp72.309.000;Rp46.847.000;Rp67.536.000;Rp44.361.000;Rp59.370.000;Rp66.768.000; Rp- ; Rp- ;Rp606.624.000;AKTIF
;;Pajak;Rp6.000.900;Rp4.894.000;Rp5.590.900;Rp8.457.500;Rp7.230.900;Rp4.684.700;Rp6.753.600;Rp4.436.100;Rp5.937.000;Rp6.676.800; Rp- ; Rp- ;Rp60.662.400;
;;Setor;Rp6.000.900;Rp4.894.000;Rp5.590.900;Rp8.457.500;Rp7.230.900;Rp4.684.700;Rp6.753.600;Rp4.436.100;Rp5.937.000;Rp6.676.800; Rp- ; Rp- ;Rp60.662.400;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
175;32.78.1.0003754.08.005 / PULL AND SHOT COFFEE / JL. SELADARMA NO. 58;Omset;Rp570.403.171;Rp534.346.180;Rp484.232.719;Rp450.405.764;Rp397.146.870;Rp587.756.008;Rp564.714.727;Rp515.927.358;Rp472.533.909;Rp449.760.209; Rp- ; Rp- ;Rp5.027.226.915;AKTIF
;;Pajak;Rp57.040.317;Rp53.434.618;Rp48.423.272;Rp45.040.576;Rp39.714.687;Rp58.775.601;Rp56.471.473;Rp51.592.736;Rp47.253.391;Rp44.976.021; Rp- ; Rp- ;Rp502.722.692;
;;Setor;Rp57.040.317;Rp53.434.618;Rp48.423.272;Rp45.040.576;Rp39.714.687;Rp58.775.601;Rp56.471.473;Rp51.592.736;Rp47.253.391;Rp44.976.021; Rp- ; Rp- ;Rp502.722.692;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
176;32.78.1.0003755.03.003 / YASMIN CAFE / JL. DINDING ARI RAYA NO. 170;Omset;Rp2.510.000;Rp2.240.000;Rp1.880.000;Rp1.930.000;Rp1.880.000;Rp1.890.000;Rp1.670.000;Rp1.760.000;Rp1.670.000;Rp1.730.000; Rp- ; Rp- ;Rp19.160.000;AKTIF
;;Pajak;Rp251.000;Rp224.000;Rp188.000;Rp193.000;Rp188.000;Rp189.000;Rp167.000;Rp176.000;Rp167.000;Rp173.000; Rp- ; Rp- ;Rp1.916.000;
;;Setor;Rp251.000;Rp224.000;Rp188.000;Rp193.000;Rp188.000;Rp189.000;Rp167.000;Rp176.000;Rp167.000;Rp173.000; Rp- ; Rp- ;Rp1.916.000;
;;Denda;Rp5.020;Rp2.240; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.240;
;;Setor Denda;Rp5.020;Rp2.240; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.240;
177;32.78.1.0003806.08.005 / PASINI COFFEE / Jl. Tawang Sari No.11;Omset;Rp20.993.356;Rp42.814.714;Rp16.993.068;Rp18.477.996;Rp23.588.760;Rp21.892.059;Rp15.300.186;Rp13.878.986; Rp- ; Rp- ; Rp- ; Rp- ;Rp173.939.125;AKTIF
;;Pajak;Rp2.099.336;Rp4.281.471;Rp1.699.307;Rp1.847.800;Rp2.358.876;Rp2.189.206;Rp1.530.019;Rp1.387.899; Rp- ; Rp- ; Rp- ; Rp- ;Rp17.393.914;
;;Setor;Rp2.099.336;Rp1.922.595;Rp1.699.307;Rp1.847.800;Rp2.358.876;Rp2.189.206;Rp1.530.019;Rp1.387.899; Rp- ; Rp- ; Rp- ; Rp- ;Rp15.035.038;
;;Denda; Rp- ;Rp19.226; Rp- ;Rp18.478; Rp- ;Rp43.784;Rp15.300; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp96.788;
;;Setor Denda; Rp- ;Rp19.226; Rp- ;Rp18.478; Rp- ;Rp43.784;Rp15.300; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp96.788;
178;32.78.1.0003835.02.005 / KOKUMI / Plaza Asia Tasikmalaya;Omset;Rp1.385.000;Rp1.187.000;Rp1.235.000;Rp1.250.000;Rp1.235.000;Rp1.185.000;Rp1.125.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp8.602.000;AKTIF
;;Pajak;Rp138.500;Rp118.700;Rp123.500;Rp125.000;Rp123.500;Rp118.500;Rp112.500; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp860.200;
;;Setor;Rp138.500;Rp118.700;Rp123.500;Rp125.000;Rp123.500;Rp118.500;Rp112.500; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp860.200;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
179;32.78.1.0003836.03.001 / NARASSI COFFEE / Jl. Panglayungan IV No. 6;Omset;Rp28.000.000;Rp25.000.000;Rp23.000.000;Rp24.000.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp100.000.000;AKTIF
;;Pajak;Rp2.800.000;Rp2.500.000;Rp2.300.000;Rp2.400.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp10.000.000;
;;Setor;Rp2.800.000;Rp2.500.000;Rp2.300.000;Rp2.400.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp10.000.000;
;;Denda;Rp168.000;Rp125.000;Rp92.000;Rp72.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp289.000;
;;Setor Denda;Rp168.000;Rp125.000;Rp92.000;Rp72.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp289.000;
180;32.78.1.0003841.04.004 / KOPI SILOKA 2 / Jl. Brigjend Wasita Kusumah;Omset;Rp36.749.390;Rp39.122.890;Rp32.716.810;Rp60.132.910;Rp56.593.160;Rp25.806.740;Rp28.050.765;Rp39.205.140;Rp29.414.600;Rp39.013.340; Rp- ; Rp- ;Rp386.805.745;AKTIF
;;Pajak;Rp3.674.939;Rp3.912.289;Rp3.271.681;Rp6.013.291;Rp5.659.316;Rp2.580.674;Rp2.805.077;Rp3.920.514;Rp2.941.460;Rp3.901.334; Rp- ; Rp- ;Rp38.680.575;
;;Setor;Rp3.674.939;Rp3.912.289;Rp3.271.681;Rp6.013.291;Rp5.659.316;Rp2.580.674;Rp2.805.077;Rp3.920.514;Rp2.941.460;Rp3.901.334; Rp- ; Rp- ;Rp38.680.575;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp28.051; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp28.051;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp28.051; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp28.051;
181;"32.78.1.0003847.04.004 / SOP BUAH PRIBUMI 2
Jl. Letnan Harun No. 1";Omset;Rp14.000.000;Rp15.070.000;Rp16.500.000;Rp16.000.000;Rp10.000.000;Rp10.200.000;Rp5.000.000;Rp5.500.000; Rp- ; Rp- ;Rp10.000.000; Rp- ;Rp102.270.000;AKTIF
;;Pajak;Rp1.400.000;Rp1.507.000;Rp1.650.000;Rp1.600.000;Rp1.000.000;Rp1.020.000;Rp500.000;Rp550.000; Rp- ; Rp- ;Rp1.000.000; Rp- ;Rp10.227.000;
;;Setor;Rp1.400.000;Rp1.507.000;Rp1.650.000;Rp1.600.000;Rp1.000.000;Rp1.020.000;Rp500.000;Rp550.000; Rp- ; Rp- ;Rp1.000.000; Rp- ;Rp10.227.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
182;32.78.1.0003855.08.004 / NINETY3 COFFEE / Jl. Sutisna Senjaya No. 135;Omset;Rp2.591.420;Rp2.362.030;Rp2.136.700;Rp2.127.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.217.150;AKTIF
;;Pajak;Rp259.142;Rp236.203;Rp213.670;Rp212.700; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp921.715;
;;Setor;Rp259.142;Rp236.203;Rp213.670;Rp212.700; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp921.715;
;;Denda;Rp12.958;Rp14.173;Rp14.957;Rp14.889; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp44.019;
;;Setor Denda;Rp12.958;Rp14.173;Rp14.957;Rp14.889; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp44.019;
183;32.78.1.0003893.02.001 / SECANGKIR KOPI / Jl. Ps. Baru I No. 12;Omset;Rp4.828.000;Rp5.077.000;Rp4.415.000;Rp6.574.000;Rp7.303.000;Rp5.964.000;Rp6.095.000;Rp6.244.000;Rp4.458.000;Rp4.930.000; Rp- ; Rp- ;Rp55.888.000;AKTIF
;;Pajak;Rp482.800;Rp507.700;Rp441.500;Rp657.400;Rp730.300;Rp596.400;Rp609.500;Rp624.400;Rp445.800;Rp493.000; Rp- ; Rp- ;Rp5.588.800;
;;Setor;Rp482.800;Rp507.700;Rp441.500;Rp657.400;Rp730.300;Rp596.400;Rp609.500;Rp624.400;Rp445.800;Rp493.000; Rp- ; Rp- ;Rp5.588.800;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
184;32.78.1.0003898.08.003 / TEKUN.ID / JL. SILIWANGI 20A;Omset;Rp12.430.000;Rp11.889.000;Rp10.208.000;Rp10.277.000;Rp12.900.000;Rp14.480.000;Rp14.083.000;Rp11.796.000;Rp10.083.000;Rp11.367.000;Rp12.955.000; Rp- ;Rp132.468.000;AKTIF
;;Pajak;Rp1.243.000;Rp1.188.900;Rp1.020.800;Rp1.027.700;Rp1.290.000;Rp1.448.000;Rp1.408.300;Rp1.179.600;Rp1.008.300;Rp1.136.700;Rp1.295.500; Rp- ;Rp13.246.800;
;;Setor;Rp1.243.000;Rp1.188.900;Rp1.020.800;Rp1.027.700;Rp1.290.000;Rp1.448.000;Rp1.408.300;Rp1.179.600;Rp1.008.300;Rp1.136.700;Rp1.295.500; Rp- ;Rp13.246.800;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
185;32.78.1.0003968.02.003 / YANG CAFE / Jl. HZ. MUSTOFA NO. 247B;Omset;Rp10.984.000;Rp11.034.000;Rp10.482.000;Rp10.896.000;Rp10.611.000;Rp10.973.000;Rp10.772.000;Rp11.157.000;Rp10.898.000;Rp10.785.000;Rp10.865.000; Rp- ;Rp119.457.000;AKTIF
;;Pajak;Rp1.098.400;Rp1.103.400;Rp1.048.200;Rp1.089.600;Rp1.061.100;Rp1.097.300;Rp1.077.200;Rp1.115.700;Rp1.089.800;Rp1.078.500;Rp1.086.500; Rp- ;Rp11.945.700;
;;Setor;Rp1.098.400;Rp1.103.400;Rp1.048.200;Rp1.089.600;Rp1.061.100;Rp1.097.300;Rp1.077.200;Rp1.115.700;Rp1.089.800;Rp1.078.500;Rp1.086.500; Rp- ;Rp11.945.700;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
186;32.78.1.0003970.08.003 / SUMUR SI DOEL / Jl. BKR NO. 9 A;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.000.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.000.000;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp300.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp300.000;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp300.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp300.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
187;32.78.1.0004011.08.005 / ROEMAH / JL. R IKIK WIRADIKARTA NO. 14;Omset;Rp21.144.152;Rp13.362.265;Rp14.113.567;Rp35.149.241;Rp30.422.082;Rp21.443.975;Rp17.292.136;Rp16.050.687;Rp14.708.715; Rp- ; Rp- ; Rp- ;Rp183.686.820;AKTIF
;;Pajak;Rp2.114.415;Rp1.336.227;Rp1.411.357;Rp3.514.924;Rp3.042.208;Rp2.144.398;Rp1.729.214;Rp1.605.069;Rp1.470.872; Rp- ; Rp- ; Rp- ;Rp18.368.684;
;;Setor;Rp2.114.415;Rp1.336.227;Rp1.411.357;Rp3.514.924;Rp3.042.208;Rp2.144.398;Rp1.729.214;Rp1.605.069;Rp1.470.872; Rp- ; Rp- ; Rp- ;Rp18.368.684;
;;Denda;Rp105.721;Rp53.450;Rp56.455;Rp246.045;Rp182.533;Rp107.220;Rp69.169;Rp48.153;Rp29.418; Rp- ; Rp- ; Rp- ;Rp792.443;
;;Setor Denda;Rp105.721;Rp53.450;Rp56.455;Rp246.045;Rp182.533;Rp107.220;Rp69.169;Rp48.153;Rp29.418; Rp- ; Rp- ; Rp- ;Rp792.443;
188;32.78.1.0004014.02.004 / KOPI KENANGAN ASIA PLAZA / JL. KHZ. MUSTOFA NO. 326;Omset;Rp178.587.630;Rp160.221.880;Rp154.045.110;Rp132.158.770;Rp225.036.110;Rp179.857.450;Rp186.993.070;Rp169.511.820;Rp161.971.260;Rp152.085.410;Rp163.080.480; Rp- ;Rp1.863.548.990;AKTIF
;;Pajak;Rp17.858.763;Rp16.022.188;Rp15.404.511;Rp13.215.877;Rp22.503.611;Rp17.985.745;Rp18.699.307;Rp16.951.182;Rp16.197.126;Rp15.208.541;Rp16.308.048; Rp- ;Rp186.354.899;
;;Setor;Rp17.858.763;Rp16.022.188;Rp15.404.511;Rp13.215.877;Rp22.503.611;Rp17.985.745;Rp18.699.307;Rp16.951.182;Rp16.197.126;Rp15.208.541;Rp16.308.048; Rp- ;Rp186.354.899;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
189;32.78.1.0004015.03.003 / KOPI KENANGAN SPBU RANCABANGO / JL. IR. H. JUANDA;Omset;Rp106.002.600;Rp103.519.060;Rp99.145.870;Rp113.574.040;Rp141.503.040;Rp105.509.040;Rp121.640.700;Rp105.899.400;Rp99.567.700;Rp99.578.400;Rp103.146.750; Rp- ;Rp1.199.086.600;AKTIF
;;Pajak;Rp10.600.260;Rp10.351.906;Rp9.914.587;Rp11.357.404;Rp14.150.304;Rp10.550.904;Rp12.164.070;Rp10.589.940;Rp9.956.770;Rp9.957.840;Rp10.314.675; Rp- ;Rp119.908.660;
;;Setor;Rp10.600.260;Rp10.351.906;Rp9.914.587;Rp11.357.404;Rp14.150.304;Rp10.550.904;Rp12.164.070;Rp10.589.940;Rp9.956.770;Rp9.957.840;Rp10.314.675; Rp- ;Rp119.908.660;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
190;32.78.1.0004019.08.002 /MIXUE TENTARA PELAJAR / TENTARA PELAJAR NO. 30;Omset;Rp16.984.000;Rp15.256.000;Rp10.649.000;Rp8.905.000; Rp- ; Rp- ;Rp14.503.000;Rp13.488.000;Rp12.618.000;Rp13.304.000;Rp14.371.000; Rp- ;Rp120.078.000;AKTIF
;;Pajak;Rp1.698.400;Rp1.525.600;Rp1.064.900;Rp890.500; Rp- ; Rp- ;Rp1.450.300;Rp1.348.800;Rp1.261.800;Rp1.330.400;Rp1.437.100; Rp- ;Rp12.007.800;
;;Setor;Rp1.698.400;Rp1.525.600;Rp1.064.900;Rp890.500; Rp- ; Rp- ;Rp1.450.300;Rp1.348.800;Rp1.261.800;Rp1.330.400;Rp1.437.100; Rp- ;Rp12.007.800;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
191;32.78.1.0004028.08.003 / MIXUE UNSIL / SILIWANGI NO. 28;Omset;Rp11.943.636;Rp11.716.364;Rp10.170.909;Rp9.436.364;Rp12.208.182;Rp9.917.273;Rp9.453.636;Rp7.232.727;Rp8.113.636;Rp11.311.818;Rp15.242.727; Rp- ;Rp116.747.272;AKTIF
;;Pajak;Rp1.194.364;Rp1.171.636;Rp1.017.091;Rp943.636;Rp1.220.818;Rp991.727;Rp945.364;Rp723.273;Rp811.364;Rp1.131.182;Rp1.524.273; Rp- ;Rp11.674.728;
;;Setor;Rp1.194.364;Rp1.171.636;Rp1.017.091;Rp943.636;Rp1.220.818;Rp991.727;Rp945.364;Rp723.273;Rp811.364;Rp1.131.182;Rp1.524.273; Rp- ;Rp11.674.728;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
192;32.78.1.0004036.02.003 / STARBUCKS TASIK / Jl. KHZ. MUSTOFA NO. 201;Omset;Rp112.695.044;Rp111.365.227;Rp96.105.709;Rp127.689.501;Rp155.221.428;Rp128.820.910;Rp118.792.001;Rp103.303.410;Rp106.233.401;Rp108.021.226;Rp113.150.816; Rp- ;Rp1.281.398.673;AKTIF
;;Pajak;Rp11.269.504;Rp11.136.523;Rp9.610.571;Rp12.768.950;Rp15.522.143;Rp12.882.091;Rp11.879.200;Rp10.330.341;Rp10.623.340;Rp10.802.123;Rp11.315.082; Rp- ;Rp128.139.868;
;;Setor;Rp11.269.504;Rp11.136.523;Rp9.610.571;Rp12.768.950;Rp15.522.143;Rp12.882.091;Rp11.879.200;Rp10.330.341;Rp10.623.340;Rp10.802.123;Rp11.315.082; Rp- ;Rp128.139.868;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
