NO;NPWPD / NAMA WP / ALAMAT;KET.;DESEMBER;JANUARI;PEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOPEMBER;JUMLAH;STATUS
;;Pajak;Rp2.144.690;Rp2.381.670;Rp2.135.595;Rp2.485.370;Rp2.012.579;Rp2.000.470;Rp2.068.480;Rp2.008.850;Rp2.005.450;Rp2.001.760; Rp- ; Rp- ;Rp21.244.914;
;;Setor;Rp2.144.690;Rp2.381.670;Rp2.135.595;Rp2.485.370;Rp2.012.579;Rp2.000.470;Rp2.068.480;Rp2.008.850;Rp2.005.450;Rp2.001.760; Rp- ; Rp- ;Rp21.244.914;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
10;32.78.1.0000488.02.003 / RESTORAN HAPPY SUKI / Jl. Panyerutan Ruko No. 6 Kelurahan Nagarawangi Kecamatan Cihideung  Tasikmalaya;Omset;Rp37.052.000;Rp32.032.650;Rp32.158.400;Rp45.028.000;Rp39.052.000;Rp35.084.000;Rp31.055.000;Rp30.105.000;Rp32.150.000;Rp33.050.000;Rp33.041.000; Rp- ;Rp379.808.050;AKTIF
;;Pajak;Rp3.705.200;Rp3.203.265;Rp3.215.840;Rp4.502.800;Rp3.905.200;Rp3.508.400;Rp3.105.500;Rp3.010.500;Rp3.215.000;Rp3.305.000;Rp3.304.100; Rp- ;Rp37.980.805;
;;Setor;Rp3.705.200;Rp3.203.265;Rp3.215.840;Rp4.502.800;Rp3.905.200;Rp3.508.400;Rp3.105.500;Rp3.010.500;Rp3.215.000;Rp3.305.000;Rp3.304.100; Rp- ;Rp37.980.805;
;;Denda;Rp74.104;Rp32.033;Rp32.158;Rp45.028;Rp39.052; Rp- ; Rp- ; Rp- ;Rp32.150; Rp- ; Rp- ; Rp- ;Rp180.421;
;;Setor Denda;Rp74.104;Rp32.033;Rp32.158;Rp45.028;Rp39.052; Rp- ; Rp- ; Rp- ;Rp32.150; Rp- ; Rp- ; Rp- ;Rp180.421;
11;32.78.1.0000492.02.005 / MC. DONALD ASIA PLAZA / Jl. HZ. Mustofa ( Komplek Asia Plaza) RT:- Kelurahan Tuguraja Kecamatan Cihideung  Tasikmalaya;Omset;Rp162.078.169;Rp137.789.770;Rp123.796.231;Rp101.105.846;Rp233.606.957;Rp128.912.158;Rp137.497.273;Rp134.402.303;Rp104.361.170;Rp96.995.243;Rp110.628.940; Rp- ;Rp1.471.174.060;AKTIF
;;Pajak;Rp16.207.817;Rp13.778.977;Rp12.379.623;Rp10.110.585;Rp23.360.696;Rp12.891.216;Rp13.749.727;Rp13.440.230;Rp10.436.117;Rp9.699.524;Rp11.062.894; Rp- ;Rp147.117.406;
;;Setor;Rp16.207.817;Rp13.778.977;Rp12.379.623;Rp10.110.585;Rp23.360.696;Rp12.891.216;Rp13.749.727;Rp13.440.230;Rp10.436.117;Rp9.699.524;Rp11.062.894; Rp- ;Rp147.117.406;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
12;32.78.1.0002858.02.004 / CFC TMC / JL. KH ZENAL MUSTOPA NO :310;Omset;Rp79.358.130;Rp66.889.772;Rp56.747.439;Rp47.043.628;Rp55.903.905;Rp49.150.157;Rp55.727.874;Rp52.922.798;Rp53.385.930;Rp52.534.700;Rp60.901.404; Rp- ;Rp630.565.737;AKTIF
;;Pajak;Rp7.935.813;Rp6.688.977;Rp5.674.744;Rp4.704.363;Rp5.590.391;Rp4.915.016;Rp5.572.787;Rp5.292.280;Rp5.338.593;Rp5.253.470;Rp6.090.140; Rp- ;Rp63.056.574;
;;Setor;Rp7.935.813;Rp6.688.977;Rp5.674.744;Rp4.704.363;Rp5.590.391;Rp4.915.016;Rp5.572.787;Rp5.292.280;Rp5.338.593;Rp5.253.470;Rp6.090.140; Rp- ;Rp63.056.574;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
13;32.78.1.0002945.08.003 / AYAM PENYET SURABAYA / Jl. HZ. Mustofa No. 294 Tasikmalaya;Omset;Rp61.498.000;Rp62.020.000;Rp59.214.000;Rp62.840.000;Rp61.411.000;Rp58.932.000;Rp60.585.000;Rp57.918.000;Rp57.386.000;Rp55.665.000;Rp56.366.000; Rp- ;Rp653.835.000;AKTIF
;;Pajak;Rp6.149.800;Rp6.202.000;Rp5.921.400;Rp6.284.000;Rp6.141.100;Rp5.893.200;Rp6.058.500;Rp5.791.800;Rp5.738.600;Rp5.566.500;Rp5.636.600; Rp- ;Rp65.383.500;
;;Setor;Rp6.149.800;Rp6.202.000;Rp5.921.400;Rp6.284.000;Rp6.141.100;Rp5.893.200;Rp6.058.500;Rp5.791.800;Rp5.738.600;Rp5.566.500;Rp5.636.600; Rp- ;Rp65.383.500;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
14;32.78.1.0002958.02.003 / GRAND METRO RESTO / JL. KHZ. MUSTOFA No. 263;Omset;Rp43.781.223;Rp43.622.240;Rp27.642.521;Rp173.255.805;Rp50.451.843;Rp34.654.760;Rp27.414.265;Rp28.675.091;Rp26.276.438;Rp29.971.132; Rp- ; Rp- ;Rp485.745.318;AKTIF
;;Pajak;Rp4.378.122;Rp4.362.224;Rp2.764.252;Rp17.325.581;Rp5.045.184;Rp3.465.476;Rp2.741.427;Rp2.867.509;Rp2.627.644;Rp2.997.113; Rp- ; Rp- ;Rp48.574.532;
;;Setor;Rp4.378.122;Rp4.362.224;Rp2.764.252;Rp17.325.581;Rp5.045.184;Rp3.465.476;Rp2.741.427;Rp2.867.509;Rp2.627.644;Rp2.997.113; Rp- ; Rp- ;Rp48.574.532;
;;Denda; Rp- ; Rp- ;Rp27.643; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp27.643;
;;Setor Denda; Rp- ; Rp- ;Rp27.643; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp27.643;
15;32.78.1.0003044.02.004 / ICHIBAN SUSHI / Jl. KHZ. Mustofa No. 326;Omset;Rp533.108.910;Rp524.040.550;Rp420.383.810;Rp329.259.620;Rp640.658.870;Rp541.210.020;Rp521.404.667;Rp521.974.160;Rp424.310.940; Rp- ; Rp- ; Rp- ;Rp4.456.351.547;AKTIF
;;Pajak;Rp53.310.891;Rp52.404.055;Rp42.038.381;Rp32.925.962;Rp64.065.887;Rp54.121.002;Rp52.140.467;Rp52.197.416;Rp42.431.094; Rp- ; Rp- ; Rp- ;Rp445.635.155;
;;Setor;Rp53.310.891;Rp52.404.055;Rp42.038.381;Rp32.925.962;Rp64.065.887;Rp54.121.002;Rp52.140.467;Rp52.197.416;Rp42.431.094; Rp- ; Rp- ; Rp- ;Rp445.635.155;
;;Denda;Rp1.599.327;Rp1.048.082;Rp420.384;Rp1.975.558;Rp3.203.295;Rp2.164.841;Rp1.564.215;Rp1.043.949;Rp424.311; Rp- ; Rp- ; Rp- ;Rp11.844.635;
;;Setor Denda;Rp1.599.327;Rp1.048.082;Rp420.384;Rp1.975.558;Rp3.203.295;Rp2.164.841;Rp1.564.215;Rp1.043.949;Rp424.311; Rp- ; Rp- ; Rp- ;Rp11.844.635;
