NAMA_WP,Kategori,Total_Omset_12Bulan,Total_Pajak_12Bulan,Efektivitas_Pajak,Risk_Label,prediction,Segmentasi
KOPI KENANGAN RE. MARTADINATA,Cafe,3446198160,401425138.01941234,11.648347482769553,0,2,Gold (Middle)
KOPI CINLOK,Cafe,112889700,13352529.657779135,11.827941998628836,0,0,Silver (Small)
THE HARVEST,Resto Umum,4831162712,562791128.0792868,11.649185925439483,0,2,Gold (Middle)
LEA CAFÉ,Resto Umum,431734600,50309544.71552164,11.652886592173815,0,0,Silver (Small)
MIXUE YUDANEGARA,Resto Umum,76100000,8907958.160337636,11.705593634252825,0,0,Silver (Small)
STARBUCK JUANDA,Resto Umum,1236962918,144107434.19773722,11.650101284582329,0,0,Silver (Small)
PT. KURNIA BOGA NARAYAN,Resto Umum,120562442,14657393.758460145,12.157511125694361,0,0,Silver (Small)
JELANG HARI COFFEE & BAKERY,Cafe,16877960,1970502.5701137867,11.674996084326876,0,0,Silver (Small)
AGUSNI COFFEE,Cafe,412389760,48135637.57602476,11.67236455515797,0,0,Silver (Small)
KAJJA,Resto Umum,108587000,12666207.880054707,11.664569865919793,0,0,Silver (Small)
POTAWINGS,Resto Umum,494770390,57650080.30347394,11.651885414009454,0,0,Silver (Small)
MIXUE JUANDA TASIKMALAYA,Resto Umum,249154542,29030929.003418908,11.651775388949506,0,0,Silver (Small)
MIXUE ASIA PLAZA,Resto Umum,326518182,38055795.2354854,11.655030541877062,0,0,Silver (Small)
MIXUE RE JAELANI,Resto Umum,170662000,19949900.42644638,11.689713599794182,0,0,Silver (Small)
MIXUE MITRA BATIK,Resto Umum,209174000,24490505.902068872,11.708197241093636,0,0,Silver (Small)
GRAND MUTIARA CAFFE & RESTO,Resto Umum,89403400,10427674.744716203,11.663620561501839,0,0,Silver (Small)
SUNNY CAFE & RESTO,Cafe,934955954,109054440.28217803,11.664125824956553,0,0,Silver (Small)
MIXUE KAWALU,Resto Umum,379440000,44228404.1338272,11.656230954849116,0,0,Silver (Small)
KEDAI MITUN,Resto Umum,23900000,2787581.7194794747,11.663515982667601,0,0,Silver (Small)
MIXUE DADAHA,Resto Umum,2140403638,249485775.70534757,11.656015242982209,0,0,Silver (Small)
YORA FAMILY KARAOKE,Resto Umum,6741200,804690.2944116853,11.936878626746724,0,0,Silver (Small)
THE TEN THOUSAND HILLS,Resto Umum,55337118,6546232.362578077,11.82972872387505,0,0,Silver (Small)
MIXUE SUKARINDIK,Resto Umum,296080000,34619295.05571347,11.69254716718718,0,0,Silver (Small)
OHARANG,Resto Umum,126468000,14732322.963968514,11.649050800267592,0,0,Silver (Small)
MIXUE PERINTIS KEMERDEKAAN,Resto Umum,339000000,39599432.1835659,11.68124801823485,0,0,Silver (Small)
MIXUE MAYASARI PLAZA,Resto Umum,455266320,53081315.54621184,11.659398425757486,0,0,Silver (Small)
BELLE ROSE,Resto Umum,78128600,9240038.887030203,11.826702984343562,0,0,Silver (Small)
PT. ESTEH INDONESIA MAKMUR,Resto Umum,1150969366,134069034.98181564,11.648358118335242,0,0,Silver (Small)
